臺北市,121.517246,25.047683
基隆市,121.738298,25.131715
新北市,121.463587,25.014817
宜蘭縣,121.758048,24.754688
新竹市,120.971306,24.802825
新竹縣,120.996405,24.86955
桃園市,121.272481,24.992158
苗栗縣,120.822351,24.570194
臺中市,120.68623,24.139886
彰化縣,120.508484,23.984749
南投縣,120.688654,23.904633
嘉義市,120.441138,23.479205
嘉義縣,120.441138,23.479205
雲林縣,120.416573,23.737408
臺南市,120.212569,22.997504
高雄市,120.302605,22.639612
屏東縣,120.486028,22.668972
澎湖縣,119.57125,23.570106
金門縣,118.382908,24.452017
臺東縣,121.12312,22.793733
花蓮縣,121.601297,23.992492
連江縣,119.951798,26.158005
